Interest,Skill,Language,Cert,Project
Web,Beginner,JavaScript,Yes,Chatbot
Web,Advanced,Python,Yes,Recommendation System
Data Science,Intermediate,C++,No,AI Assistant
Web,Advanced,Python,Yes,Chatbot
Web,Intermediate,JavaScript,No,Network Scanner
Data Science,Advanced,Java,Yes,Image Classifier
AI,Intermediate,Java,Yes,E-commerce Website
Data Science,Intermediate,C++,No,Sales Prediction
Cybersecurity,Intermediate,Java,No,Recommendation System
Web,Beginner,Java,Yes,Portfolio Website
Cybersecurity,Beginner,C++,Yes,Full Stack App
Web,Intermediate,C++,No,Fraud Detection
AI,Intermediate,Python,Yes,Portfolio Website
AI,Beginner,JavaScript,No,Image Classifier
Cybersecurity,Advanced,Java,No,Image Classifier
Cybersecurity,Advanced,Python,No,E-commerce Website
Web,Advanced,Java,No,Recommendation System
Web,Advanced,C++,Yes,Voice Assistant
Data Science,Beginner,Python,No,AI Assistant
AI,Intermediate,JavaScript,Yes,Image Classifier
Cybersecurity,Beginner,C++,No,Full Stack App
Data Science,Advanced,JavaScript,Yes,Chatbot
AI,Intermediate,JavaScript,No,Image Classifier
Cybersecurity,Intermediate,Python,No,Fraud Detection
Cybersecurity,Advanced,JavaScript,No,Recommendation System
Data Science,Beginner,C++,No,Network Scanner
AI,Beginner,Java,Yes,Voice Assistant
AI,Beginner,Java,No,Chatbot
AI,Beginner,Python,Yes,Portfolio Website
Web,Beginner,Java,No,AI Assistant
Cybersecurity,Intermediate,Java,No,Network Scanner
AI,Intermediate,Java,Yes,AI Assistant
Web,Intermediate,C++,No,Stock Prediction
AI,Intermediate,Python,No,Stock Prediction
Cybersecurity,Advanced,JavaScript,Yes,Full Stack App
Cybersecurity,Intermediate,C++,Yes,Network Scanner
Web,Beginner,Python,No,Portfolio Website
Web,Beginner,Java,Yes,Portfolio Website
Data Science,Beginner,JavaScript,Yes,Image Classifier
AI,Intermediate,Python,Yes,Sales Prediction
Cybersecurity,Beginner,C++,No,Sales Prediction
Data Science,Intermediate,JavaScript,Yes,Stock Prediction
AI,Advanced,JavaScript,No,Full Stack App
Web,Advanced,C++,No,Full Stack App
Web,Intermediate,Java,Yes,Portfolio Website
Data Science,Advanced,Java,Yes,Voice Assistant
AI,Advanced,Java,Yes,Fraud Detection
AI,Intermediate,Python,Yes,Sales Prediction
AI,Advanced,Java,No,Network Scanner
Web,Beginner,Python,No,Network Scanner
Web,Intermediate,Java,No,Network Scanner
AI,Intermediate,JavaScript,Yes,Recommendation System
Web,Intermediate,JavaScript,No,Portfolio Website
Cybersecurity,Intermediate,Python,No,AI Assistant
Web,Intermediate,Python,No,Chatbot
Cybersecurity,Advanced,JavaScript,Yes,Sales Prediction
Cybersecurity,Beginner,Java,Yes,Full Stack App
Cybersecurity,Beginner,JavaScript,Yes,Voice Assistant
AI,Beginner,JavaScript,Yes,Stock Prediction
Data Science,Intermediate,Java,No,AI Assistant
Data Science,Advanced,Java,No,Image Classifier
Cybersecurity,Beginner,JavaScript,No,Fraud Detection
Cybersecurity,Intermediate,Java,Yes,Full Stack App
Data Science,Intermediate,Python,No,Chatbot
Web,Beginner,Java,Yes,AI Assistant
Data Science,Intermediate,JavaScript,No,Sales Prediction
AI,Beginner,JavaScript,No,Image Classifier
Data Science,Beginner,Java,No,Fraud Detection
AI,Beginner,Java,No,Sales Prediction
Data Science,Beginner,JavaScript,Yes,Recommendation System
Cybersecurity,Beginner,C++,No,AI Assistant
Data Science,Intermediate,JavaScript,Yes,Fraud Detection
AI,Advanced,Java,Yes,Image Classifier
Web,Intermediate,JavaScript,No,Stock Prediction
Cybersecurity,Advanced,Python,No,Full Stack App
Web,Beginner,Java,No,AI Assistant
AI,Beginner,Java,No,Sales Prediction
Web,Advanced,Python,No,Fraud Detection
Web,Advanced,C++,Yes,Sales Prediction
AI,Advanced,C++,Yes,Voice Assistant
AI,Advanced,JavaScript,Yes,Voice Assistant
Cybersecurity,Intermediate,JavaScript,Yes,Chatbot
Cybersecurity,Intermediate,Java,Yes,Voice Assistant
Cybersecurity,Advanced,JavaScript,Yes,Chatbot
Web,Beginner,Python,No,Network Scanner
Data Science,Intermediate,C++,No,Voice Assistant
AI,Advanced,JavaScript,Yes,Sales Prediction
Web,Intermediate,JavaScript,Yes,Fraud Detection
Web,Intermediate,Java,Yes,E-commerce Website
Data Science,Beginner,Python,No,Recommendation System
Web,Advanced,C++,No,Stock Prediction
Web,Advanced,JavaScript,No,E-commerce Website
AI,Beginner,Java,Yes,Stock Prediction
Cybersecurity,Intermediate,JavaScript,Yes,Voice Assistant
Data Science,Intermediate,JavaScript,No,Fraud Detection
Cybersecurity,Advanced,Python,No,AI Assistant
Data Science,Advanced,C++,Yes,E-commerce Website
Web,Intermediate,JavaScript,Yes,Image Classifier
Web,Intermediate,JavaScript,Yes,Sales Prediction
Web,Intermediate,Java,Yes,Fraud Detection
Cybersecurity,Beginner,JavaScript,No,Portfolio Website
Web,Advanced,C++,No,Chatbot
AI,Advanced,Java,Yes,AI Assistant
Web,Advanced,JavaScript,No,Network Scanner
Data Science,Intermediate,C++,No,Portfolio Website
Cybersecurity,Intermediate,JavaScript,Yes,Network Scanner
Web,Advanced,C++,No,Image Classifier
Cybersecurity,Beginner,C++,No,Chatbot
Web,Intermediate,Java,Yes,E-commerce Website
AI,Beginner,Python,Yes,Fraud Detection
AI,Beginner,Java,Yes,Voice Assistant
Web,Beginner,C++,Yes,Portfolio Website
Cybersecurity,Advanced,C++,Yes,Fraud Detection
Data Science,Intermediate,Java,No,Image Classifier
Data Science,Intermediate,C++,No,Chatbot
Data Science,Beginner,C++,No,Fraud Detection
Web,Advanced,JavaScript,Yes,AI Assistant
Data Science,Intermediate,Python,No,AI Assistant
Web,Advanced,C++,No,AI Assistant
Web,Intermediate,Python,No,E-commerce Website
Data Science,Intermediate,C++,No,Chatbot
Cybersecurity,Beginner,Java,Yes,Chatbot
Cybersecurity,Advanced,Java,No,Recommendation System
Web,Intermediate,Java,Yes,E-commerce Website
AI,Intermediate,C++,No,Recommendation System
AI,Advanced,JavaScript,Yes,Fraud Detection
Cybersecurity,Beginner,Java,No,Sales Prediction
Data Science,Beginner,Java,Yes,Stock Prediction
Web,Intermediate,Java,No,Full Stack App
Data Science,Intermediate,JavaScript,Yes,Recommendation System
AI,Advanced,C++,Yes,AI Assistant
Cybersecurity,Beginner,Python,No,Voice Assistant
Web,Intermediate,C++,No,Stock Prediction
AI,Intermediate,JavaScript,No,Chatbot
Data Science,Advanced,JavaScript,Yes,Fraud Detection
Cybersecurity,Beginner,JavaScript,No,Fraud Detection
AI,Intermediate,Python,Yes,Network Scanner
Web,Beginner,JavaScript,No,E-commerce Website
Data Science,Advanced,Python,Yes,Image Classifier
Data Science,Intermediate,C++,No,AI Assistant
AI,Intermediate,Python,No,Portfolio Website
Web,Intermediate,C++,Yes,Image Classifier
AI,Beginner,JavaScript,Yes,Chatbot
Data Science,Advanced,Python,Yes,Recommendation System
AI,Advanced,Python,Yes,Fraud Detection
Cybersecurity,Beginner,JavaScript,Yes,Network Scanner
Web,Intermediate,Python,Yes,Portfolio Website
Data Science,Beginner,Java,No,Image Classifier
AI,Advanced,Java,No,Chatbot
AI,Beginner,C++,Yes,AI Assistant
Cybersecurity,Beginner,Java,Yes,Chatbot
Web,Beginner,JavaScript,Yes,Recommendation System
Data Science,Intermediate,Java,No,Sales Prediction
Data Science,Beginner,Python,No,AI Assistant
Data Science,Advanced,Python,No,Stock Prediction
Web,Beginner,JavaScript,No,Recommendation System
Data Science,Advanced,Java,No,Chatbot
AI,Beginner,JavaScript,Yes,Voice Assistant
Web,Beginner,C++,Yes,AI Assistant
Web,Intermediate,JavaScript,Yes,Portfolio Website
AI,Advanced,C++,No,Portfolio Website
Data Science,Intermediate,Java,Yes,Voice Assistant
Web,Advanced,Java,No,Fraud Detection
Web,Intermediate,Python,No,Stock Prediction
Cybersecurity,Advanced,Python,No,Fraud Detection
Data Science,Intermediate,Java,No,Stock Prediction
AI,Intermediate,JavaScript,No,Stock Prediction
Web,Advanced,JavaScript,Yes,Sales Prediction
Data Science,Intermediate,C++,No,Network Scanner
Cybersecurity,Beginner,C++,Yes,Sales Prediction
Cybersecurity,Beginner,Java,No,Image Classifier
AI,Beginner,Python,No,Portfolio Website
AI,Intermediate,Java,Yes,Voice Assistant
AI,Beginner,C++,No,Full Stack App
Web,Beginner,C++,Yes,E-commerce Website
Web,Advanced,Python,Yes,AI Assistant
Data Science,Intermediate,Java,No,Portfolio Website
Data Science,Beginner,Java,No,Stock Prediction
Cybersecurity,Advanced,Python,Yes,Stock Prediction
Cybersecurity,Advanced,C++,Yes,Voice Assistant
Web,Intermediate,Python,Yes,Full Stack App
Web,Beginner,C++,Yes,E-commerce Website
Data Science,Advanced,Java,No,Portfolio Website
Web,Advanced,C++,No,Portfolio Website
Data Science,Beginner,Java,No,Voice Assistant
Web,Advanced,JavaScript,No,Chatbot
AI,Intermediate,Java,No,AI Assistant
AI,Advanced,C++,Yes,Voice Assistant
AI,Advanced,Java,Yes,Full Stack App
AI,Beginner,C++,Yes,Stock Prediction
Data Science,Intermediate,Python,Yes,Image Classifier
Data Science,Intermediate,Python,No,Full Stack App
Data Science,Advanced,JavaScript,No,Full Stack App
Cybersecurity,Intermediate,Java,Yes,Image Classifier
AI,Advanced,C++,Yes,Chatbot
AI,Beginner,Python,Yes,Image Classifier
Web,Beginner,C++,Yes,Recommendation System
Cybersecurity,Advanced,JavaScript,No,Chatbot
Data Science,Beginner,JavaScript,No,Sales Prediction
AI,Intermediate,C++,Yes,Full Stack App
Cybersecurity,Advanced,JavaScript,Yes,Stock Prediction
Web,Intermediate,Python,No,Full Stack App
Cybersecurity,Intermediate,C++,No,Network Scanner
Data Science,Advanced,C++,Yes,Recommendation System
Web,Advanced,Java,No,Image Classifier
AI,Beginner,Python,No,Chatbot
Cybersecurity,Advanced,JavaScript,No,Image Classifier
Data Science,Beginner,Java,Yes,Fraud Detection
Web,Beginner,Python,Yes,Stock Prediction
Data Science,Beginner,C++,Yes,Chatbot
Data Science,Advanced,C++,Yes,Fraud Detection
Web,Intermediate,Java,No,Recommendation System
Web,Intermediate,Python,No,Image Classifier
Cybersecurity,Beginner,Java,Yes,Network Scanner
Cybersecurity,Beginner,C++,Yes,Fraud Detection
AI,Advanced,Python,Yes,E-commerce Website
Cybersecurity,Intermediate,JavaScript,No,Stock Prediction
Data Science,Intermediate,Java,Yes,Network Scanner
Cybersecurity,Intermediate,C++,No,Full Stack App
Data Science,Intermediate,Python,Yes,Network Scanner
Web,Advanced,C++,Yes,Stock Prediction
AI,Beginner,Java,Yes,Network Scanner
Data Science,Intermediate,C++,No,E-commerce Website
AI,Intermediate,Python,No,Voice Assistant
AI,Intermediate,C++,No,Image Classifier
Web,Beginner,Java,No,Full Stack App
Web,Advanced,JavaScript,Yes,Sales Prediction
AI,Advanced,C++,No,Portfolio Website
Cybersecurity,Intermediate,Java,Yes,Portfolio Website
Web,Advanced,C++,No,Chatbot
Web,Advanced,C++,Yes,Stock Prediction
AI,Intermediate,C++,No,Chatbot
AI,Advanced,C++,No,Recommendation System
Data Science,Intermediate,Python,No,Network Scanner
Data Science,Advanced,Python,No,Chatbot
Cybersecurity,Advanced,Java,No,Chatbot
Web,Advanced,Python,Yes,Portfolio Website
Cybersecurity,Intermediate,JavaScript,Yes,Network Scanner
Cybersecurity,Beginner,Java,Yes,Portfolio Website
Cybersecurity,Beginner,C++,Yes,Portfolio Website
